reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9d7ecf76-ee66-41ac-a6dd-9de8902d49af,MOHAMMED ALKHAMIS,https://play-lh.googleusercontent.com/a-/AD_cMMRJdJCTq8feb2nHl1eC-DuN_Dvui7gx7c9ki-hsVXU,It needs improvement. Very slow in loading up. The number of active devices is very limited. Only 3 devices!!! All other streaming services accept bigger number. They should make the number at least 5 different devices.,2,0,6.1.0,2023-06-12 07:13:07,,,6.1.0
2d4f22b1-c39d-4721-8239-96a24553af9c,ya or,https://play-lh.googleusercontent.com/a-/AD_cMMT_ULYuUAEvGL0n9juNVVDLGDHRRhR0XZPmJkSAoGU,لايعمل مع سامسونج A72,1,0,6.1.0,2023-06-10 03:53:21,,,6.1.0
270fc5c7-1b25-4bcd-991f-35189a470d31,Alamin Molla Molla,https://play-lh.googleusercontent.com/a-/AD_cMMRz50oLBKxMBD_gZkBXVN0aSrEGVNGGlLXSPA5l,Very nice.Thanks for stc tv,5,0,6.1.0,2023-06-09 10:59:19,,,6.1.0
9cb85a0a-b7b5-4758-ad76-4d5868e79ed4,OnelNeth TV,https://play-lh.googleusercontent.com/a-/AD_cMMQnd_EBbuQox1fUZpu_iaagl7XbuIYKneEQvthH2A,great off or online streaming app.,5,0,6.1.0,2023-06-06 01:01:03,,,6.1.0
d6dc9dfd-2966-4843-84dc-06039f9f1692,أيمنAiman53-53,https://play-lh.googleusercontent.com/a-/AD_cMMSkQkem_j6WZ_mgI3UMnzhA5lhxHJJB9Q44VNv5DQ,"A great application with variety, but I can't speed up the video",3,2,6.1.0,2023-06-05 12:06:35,,,6.1.0
888a82f4-597f-4fb9-ab22-aca348ef781c,syed sarshar Ahmed,https://play-lh.googleusercontent.com/a-/AD_cMMRW-YxKht_VzN_ZurQBuqkmkDnPjHOfsPItmf2-rw,Application getting hanged alot........even after clearing the cache memory app hanged middle of the video...... Kindly check if thier any bug their..,3,1,6.1.0,2023-06-03 08:00:37,,,6.1.0
5d4c6e1c-0a18-4dbd-aeaa-52dc912a19b3,Abdulaziz Albalood,https://play-lh.googleusercontent.com/a/AAcHTtdUHYBa7o-XyFUi6YQjgDDYeEngT_0dmMszCZGT=mo,Unfortunately the app is not available on Google Play on my Sony smart tv!!?,3,1,6.1.0,2023-06-02 14:46:11,,,6.1.0
3bec37f6-fb10-496c-8145-c8261ab93a58,Khalid Badawi,https://play-lh.googleusercontent.com/a-/AD_cMMQpInnjTYWxvT0IBw45oigye2LjfZuv2uYzRj9XDCw,excellent,5,0,6.1.0,2023-06-02 10:19:06,,,6.1.0
c4fc7c6d-9263-49cd-8112-09bcc0fed214,amro loka,https://play-lh.googleusercontent.com/a-/AD_cMMS-TPQKMVxblSdh9_gt2AO_LrrEqQhfg4yDbca9Ag,it's great app,5,0,6.1.0,2023-06-01 05:38:33,,,6.1.0
637bb174-bded-4864-8132-9fb3f48d9802,Waqas Niazi Waqas Niazi,https://play-lh.googleusercontent.com/a/AAcHTtdqSFcrgVtKu-BspeiRmlxpmS5KdWgB_xk8T8zM=mo,it's ok,3,0,6.1.0,2023-06-01 01:22:30,,,6.1.0
36350e43-24a8-4bb3-9349-02562b1526ba,#La ?,https://play-lh.googleusercontent.com/a-/AD_cMMRuxiSTvMgQbDXw5Vkj1QmbBVYq6Thux8siGvpMVjg,ممتاز,5,0,6.0.1,2023-05-31 15:16:29,,,6.0.1
138941b2-a7d5-40c6-82f9-de015b404314,محمد عبد الرحمن مشعل,https://play-lh.googleusercontent.com/a-/AD_cMMSgl_ClX__NfXmgJaoCWFF74oBXIiMulM5DphMwPQ,I like it,5,0,6.1.0,2023-05-31 10:34:47,,,6.1.0
